,Time,Lot,pH,Temp,Current,Voltage,DTime,QC
24,29:17.1,1,2.8,17.78,3.66,3.87,2021-09-06,1
285,52:26.4,5,2.42,19.2,1.63,3.07,2021-09-06,1
523,13:22.4,8,5.27,23.99,3.37,3.22,2021-09-06,1
525,13:32.4,8,4.34,24.48,4.0,1.97,2021-09-06,1
543,15:02.5,8,4.73,24.6,3.97,4.58,2021-09-06,1
600,20:08.6,9,3.11,22.94,4.39,1.58,2021-09-06,1
628,22:50.6,10,4.16,23.55,2.13,4.19,2021-09-06,1
636,23:30.7,10,4.16,23.55,2.13,4.19,2021-09-06,1
669,26:15.8,10,4.16,23.55,2.13,4.19,2021-09-06,1
674,26:40.9,10,4.16,23.55,2.13,4.19,2021-09-06,1
791,37:10.2,12,1.58,24.31,4.23,2.07,2021-09-06,1
847,42:11.8,13,1.57,26.02,2.27,2.04,2021-09-06,1
1045,59:48.3,16,4.49,23.12,4.08,3.6,2021-09-06,1
1075,02:18.5,16,4.26,23.03,3.18,2.48,2021-09-06,1
1179,11:42.2,18,4.38,25.79,3.08,3.73,2021-09-06,1
1206,13:57.3,18,4.38,25.79,3.08,3.73,2021-09-06,1
1226,15:37.4,18,4.38,25.79,3.08,3.73,2021-09-06,1
1231,16:02.4,18,4.38,25.79,3.08,3.73,2021-09-06,1
1281,20:33.0,19,4.91,27.24,3.3,3.78,2021-09-06,1
1388,30:12.5,21,3.18,25.05,3.04,2.04,2021-09-06,1
1410,32:02.6,21,3.87,21.42,4.24,4.65,2021-09-06,1
1442,34:42.8,21,1.58,18.61,2.23,1.96,2021-09-06,1
1517,41:18.3,22,3.17,22.12,3.51,1.15,2021-09-06,1
1592,26:45.6,2,2.92,24.73,2.05,1.25,2021-09-07,0
1597,27:10.7,2,2.65,24.7,2.28,1.74,2021-09-07,0
1614,28:35.7,2,5.15,21.74,3.11,3.62,2021-09-07,0
1633,30:10.8,2,4.39,27.24,3.47,3.54,2021-09-07,0
1708,36:47.7,3,2.08,24.43,2.07,3.28,2021-09-07,1
1757,41:14.2,4,1.83,21.48,2.06,1.97,2021-09-07,1
1800,45:09.9,5,5.33,21.31,3.08,3.15,2021-09-07,1
1844,48:50.1,5,2.65,18.02,3.44,3.1,2021-09-07,1
1845,48:55.1,5,3.81,26.76,1.8,4.48,2021-09-07,1
1911,54:47.4,6,4.6,18.53,3.31,4.5,2021-09-07,1
1936,57:14.8,7,2.81,23.07,1.53,4.21,2021-09-07,1
1950,58:24.8,7,3.98,27.56,4.18,2.22,2021-09-07,1
2016,04:16.4,8,1.87,23.65,2.33,3.01,2021-09-07,1
2019,04:31.4,8,1.87,23.65,2.33,3.01,2021-09-07,1
2025,05:01.5,8,1.87,23.65,2.33,3.01,2021-09-07,1
2056,07:36.6,8,1.87,23.65,2.33,3.01,2021-09-07,1
2081,10:04.0,9,3.81,23.29,4.3,4.16,2021-09-07,1
2102,11:49.1,9,4.07,25.62,3.91,1.62,2021-09-07,1
2129,14:04.2,9,3.59,22.77,3.4,1.43,2021-09-07,1
2217,22:07.3,11,2.23,21.72,2.07,1.72,2021-09-07,1
2225,22:47.3,11,4.42,25.49,3.86,3.79,2021-09-07,1
2247,24:37.5,11,3.25,26.4,3.27,1.6,2021-09-07,1
2370,35:36.5,13,4.46,22.23,4.35,4.06,2021-09-07,1
2404,38:26.6,13,4.63,22.89,3.28,3.09,2021-09-07,1
2411,39:01.7,13,4.92,26.23,1.72,3.42,2021-09-07,1
2416,39:48.0,14,5.0,23.93,4.49,3.81,2021-09-07,1
2476,44:48.3,14,5.11,22.47,3.56,4.78,2021-09-07,1
2480,45:08.3,14,2.19,24.05,1.72,3.57,2021-09-07,1
2491,46:23.6,15,5.31,23.97,3.49,3.87,2021-09-07,1
2503,47:23.6,15,5.31,23.97,3.49,3.87,2021-09-07,1
2542,50:38.8,15,5.31,23.97,3.49,3.87,2021-09-07,1
2549,51:13.9,15,5.31,23.97,3.49,3.87,2021-09-07,1
2556,52:11.5,16,4.44,21.94,2.24,4.73,2021-09-07,1
2601,55:56.7,16,2.7,25.53,2.07,3.21,2021-09-07,1
2646,00:02.4,17,1.88,24.79,1.83,4.23,2021-09-07,1
2651,00:27.4,17,3.95,17.95,3.5,3.46,2021-09-07,1
2660,01:12.4,17,2.33,24.26,4.07,1.54,2021-09-07,1
2753,09:20.6,18,4.61,22.83,3.77,3.25,2021-09-07,1
2769,11:02.5,19,5.31,23.97,3.49,3.87,2021-09-07,1
2891,21:33.5,20,4.52,25.69,4.08,3.21,2021-09-07,1
2916,24:00.7,21,1.78,21.43,4.09,1.93,2021-09-07,1
2945,26:25.8,21,2.85,22.97,1.79,1.87,2021-09-07,1
2977,29:28.3,22,5.38,22.52,4.03,3.45,2021-09-07,1
2988,30:23.4,22,3.45,22.26,2.31,4.68,2021-09-07,1
2995,30:58.4,22,4.59,19.65,4.03,3.91,2021-09-07,1
3135,30:48.2,2,4.02,26.54,3.06,4.27,2021-09-08,1
3193,36:01.4,3,2.81,23.41,1.63,4.73,2021-09-08,1
3202,36:46.4,3,4.47,25.67,3.22,3.56,2021-09-08,1
3211,37:31.5,3,4.91,27.08,3.29,4.1,2021-09-08,1
3244,40:39.4,4,4.79,22.86,1.63,2.24,2021-09-08,1
3249,41:04.5,4,1.78,25.33,1.91,3.61,2021-09-08,1
3268,42:39.6,4,4.59,21.66,3.11,3.7,2021-09-08,1
3326,47:50.4,5,2.61,19.11,1.61,3.49,2021-09-08,1
3329,48:05.4,5,4.91,27.48,3.27,3.67,2021-09-08,1
3392,53:42.2,6,5.33,18.23,4.49,1.86,2021-09-08,1
3410,55:12.3,6,5.33,18.23,4.49,1.86,2021-09-08,1
3414,55:32.3,6,5.33,18.23,4.49,1.86,2021-09-08,1
3435,57:17.4,6,5.33,18.23,4.49,1.86,2021-09-08,1
3460,59:44.3,7,1.58,24.31,4.23,2.07,2021-09-08,1
3482,01:34.4,7,1.58,24.31,4.23,2.07,2021-09-08,1
3489,02:09.5,7,1.58,24.31,4.23,2.07,2021-09-08,1
3509,03:49.6,7,1.58,24.31,4.23,2.07,2021-09-08,1
3937,41:59.3,14,4.38,25.79,3.08,3.73,2021-09-08,1
3948,42:54.4,14,4.38,25.79,3.08,3.73,2021-09-08,1
3966,44:24.5,14,4.38,25.79,3.08,3.73,2021-09-08,1
3976,45:14.5,14,4.38,25.79,3.08,3.73,2021-09-08,1
4031,50:11.8,15,3.58,19.62,4.08,2.06,2021-09-08,1
4114,57:28.6,16,1.76,27.3,1.98,3.13,2021-09-08,1
4154,01:11.1,17,1.68,18.3,3.21,1.57,2021-09-08,1
4200,05:01.3,17,5.06,21.45,3.35,4.33,2021-09-08,1
4211,06:18.8,18,4.45,27.08,3.68,3.32,2021-09-08,1
4266,10:54.1,18,4.64,25.44,3.01,3.71,2021-09-08,1
4322,15:55.0,19,3.22,24.9,3.35,1.6,2021-09-08,1
4337,17:10.1,19,3.22,24.9,3.35,1.6,2021-09-08,1
4338,17:15.1,19,3.22,24.9,3.35,1.6,2021-09-08,1
4343,17:40.1,19,3.22,24.9,3.35,1.6,2021-09-08,1
4458,27:58.3,21,4.32,23.53,3.04,4.53,2021-09-08,1
4472,29:08.4,21,4.32,23.53,3.04,4.53,2021-09-08,1
4473,29:13.4,21,4.32,23.53,3.04,4.53,2021-09-08,1
4479,29:43.4,21,4.32,23.53,3.04,4.53,2021-09-08,1
4502,31:58.9,22,4.82,24.93,1.98,3.08,2021-09-08,1
4531,34:24.1,22,4.72,24.95,4.31,4.41,2021-09-08,1
4566,26:55.0,1,4.68,19.79,3.87,3.66,2021-09-09,1
4602,29:55.2,1,4.1,23.53,3.73,1.81,2021-09-09,1
4625,32:12.6,2,3.82,24.32,3.28,1.54,2021-09-09,1
4659,35:02.8,2,4.16,22.9,4.38,1.58,2021-09-09,1
4762,44:20.2,4,4.59,21.66,3.11,3.7,2021-09-09,1
4801,47:35.4,4,4.59,21.66,3.11,3.7,2021-09-09,1
4819,49:05.5,4,4.59,21.66,3.11,3.7,2021-09-09,1
4823,49:25.6,4,4.59,21.66,3.11,3.7,2021-09-09,1
4853,52:17.3,5,3.17,22.12,3.51,1.15,2021-09-09,1
4866,53:22.4,5,3.17,22.12,3.51,1.15,2021-09-09,1
4877,54:17.4,5,3.17,22.12,3.51,1.15,2021-09-09,1
4878,54:22.5,5,3.17,22.12,3.51,1.15,2021-09-09,1
4980,03:35.1,7,3.68,22.63,1.73,2.45,2021-09-09,1
5044,09:18.2,8,2.49,27.71,3.49,1.59,2021-09-09,0
5045,09:23.2,8,1.74,23.64,3.07,1.04,2021-09-09,0
5049,09:43.2,8,4.5,17.92,4.49,3.49,2021-09-09,0
5053,10:03.2,8,5.16,24.04,4.06,1.01,2021-09-09,0
5057,10:23.2,8,1.92,24.95,3.8,2.11,2021-09-09,0
5061,10:43.2,8,4.51,25.43,3.85,1.91,2021-09-09,0
5094,13:28.4,8,4.13,27.03,2.0,2.46,2021-09-09,0
5113,15:25.9,9,3.72,23.66,2.45,1.68,2021-09-09,1
5120,16:00.9,9,3.72,23.66,2.45,1.68,2021-09-09,1
5124,16:20.9,9,3.72,23.66,2.45,1.68,2021-09-09,1
5160,19:21.1,9,3.72,23.66,2.45,1.68,2021-09-09,1
5248,27:26.0,11,2.79,25.62,3.09,2.07,2021-09-09,1
5262,28:36.1,11,2.79,25.62,3.09,2.07,2021-09-09,1
5269,29:11.1,11,2.79,25.62,3.09,2.07,2021-09-09,1
5306,32:16.3,11,2.79,25.62,3.09,2.07,2021-09-09,1
5391,40:05.4,13,3.49,26.71,2.04,3.71,2021-09-09,1
5396,40:30.4,13,4.73,23.07,1.52,1.86,2021-09-09,1
5503,49:48.1,14,4.48,23.79,4.04,2.06,2021-09-09,1
5578,56:25.8,15,2.61,23.53,3.27,1.3,2021-09-09,1
5585,57:00.8,15,1.55,21.74,1.55,4.43,2021-09-09,1
5590,57:48.4,16,2.92,25.38,4.18,1.53,2021-09-09,1
5620,00:18.6,16,2.92,25.38,4.18,1.53,2021-09-09,1
5627,00:53.6,16,2.92,25.38,4.18,1.53,2021-09-09,1
5651,02:53.7,16,2.92,25.38,4.18,1.53,2021-09-09,1
5759,12:37.6,18,4.66,22.71,1.65,2.16,2021-09-09,1
6080,30:00.0,1,1.87,23.65,2.33,3.01,2021-09-10,1
6101,31:45.1,1,1.87,23.65,2.33,3.01,2021-09-10,1
6108,32:20.1,1,1.87,23.65,2.33,3.01,2021-09-10,1
6126,33:50.2,1,1.87,23.65,2.33,3.01,2021-09-10,1
6144,35:41.1,2,3.3,26.25,1.65,3.49,2021-09-10,1
6279,47:40.5,4,1.6,25.78,3.98,1.57,2021-09-10,1
6294,48:55.6,4,1.6,25.78,3.98,1.57,2021-09-10,1
6309,50:10.7,4,1.6,25.78,3.98,1.57,2021-09-10,1
6320,51:05.7,4,1.6,25.78,3.98,1.57,2021-09-10,1
6352,54:06.9,5,1.88,24.79,1.83,4.23,2021-09-10,1
6357,54:31.9,5,1.88,24.79,1.83,4.23,2021-09-10,1
6389,57:12.1,5,1.88,24.79,1.83,4.23,2021-09-10,1
6408,58:47.2,5,1.88,24.79,1.83,4.23,2021-09-10,1
6457,03:14.2,6,4.16,23.55,2.13,4.19,2021-09-10,1
6489,06:17.0,7,4.16,27.29,3.55,3.62,2021-09-10,1
6502,07:22.1,7,4.26,23.89,4.48,4.57,2021-09-10,1
6539,10:27.3,7,2.56,17.34,2.24,3.36,2021-09-10,1
6617,17:19.1,8,3.87,18.36,3.2,2.06,2021-09-10,1
6766,30:49.5,11,4.66,26.13,3.09,2.13,2021-09-10,1
6789,32:44.6,11,4.66,26.13,3.09,2.13,2021-09-10,1
6817,35:04.7,11,4.66,26.13,3.09,2.13,2021-09-10,1
6826,35:49.7,11,4.66,26.13,3.09,2.13,2021-09-10,1
7080,58:29.0,15,3.79,25.78,4.27,3.48,2021-09-10,1
7116,01:49.8,16,5.33,18.23,4.49,1.86,2021-09-10,1
7182,07:42.3,17,3.72,23.66,2.45,1.68,2021-09-10,1
7307,18:28.4,18,4.13,22.48,3.8,4.0,2021-09-10,1
7318,19:45.1,19,3.92,26.6,4.28,3.22,2021-09-10,1
7473,33:25.8,21,4.31,21.96,3.45,1.56,2021-09-10,1
7489,34:45.9,21,1.63,25.55,2.18,3.61,2021-09-10,1
7520,37:21.1,21,1.51,17.9,1.95,2.44,2021-09-10,1
7597,24:18.0,1,2.01,27.54,3.52,2.13,2021-09-13,1
7646,28:23.2,1,2.01,27.54,3.52,2.13,2021-09-13,1
7647,28:28.2,1,2.01,27.54,3.52,2.13,2021-09-13,1
7656,29:13.3,1,2.01,27.54,3.52,2.13,2021-09-13,1
7663,30:09.0,2,2.42,25.15,1.68,2.26,2021-09-13,1
7667,30:29.1,2,4.94,22.16,3.2,3.17,2021-09-13,1
7704,33:34.2,2,3.85,24.29,1.57,3.7,2021-09-13,1
7777,40:02.2,3,3.81,23.86,3.92,4.29,2021-09-13,1
7800,42:18.5,4,3.03,23.7,1.56,4.43,2021-09-13,1
7808,42:58.5,4,3.03,23.7,1.56,4.43,2021-09-13,1
7843,45:53.7,4,3.03,23.7,1.56,4.43,2021-09-13,1
7860,47:18.7,4,3.03,23.7,1.56,4.43,2021-09-13,1
7908,51:39.2,5,2.69,27.15,3.65,1.04,2021-09-13,1
7917,52:24.2,5,2.58,22.27,2.29,3.32,2021-09-13,1
7926,53:09.3,5,4.26,23.09,1.95,4.73,2021-09-13,1
7943,54:56.1,6,3.59,22.77,3.4,1.43,2021-09-13,1
7961,56:26.2,6,3.59,22.77,3.4,1.43,2021-09-13,1
7977,57:46.3,6,3.59,22.77,3.4,1.43,2021-09-13,1
7988,58:41.3,6,3.59,22.77,3.4,1.43,2021-09-13,1
8190,16:40.7,9,3.98,26.2,3.98,2.04,2021-09-13,1
8326,28:45.1,11,4.31,22.44,3.66,4.38,2021-09-13,1
8394,34:48.4,12,1.97,26.3,1.87,2.23,2021-09-13,1
8438,38:49.4,13,2.15,19.57,1.78,1.84,2021-09-13,1
8446,39:29.4,13,3.76,24.59,2.49,2.08,2021-09-13,1
8510,45:12.5,14,4.19,25.56,4.09,2.27,2021-09-13,1
8554,48:52.7,14,3.83,21.61,3.76,3.38,2021-09-13,1
8630,55:54.9,16,4.08,19.67,3.12,2.44,2021-09-13,1
8654,57:55.1,16,5.42,24.54,2.21,3.51,2021-09-13,1
8724,04:06.8,17,3.58,19.09,3.88,1.88,2021-09-13,1
8735,05:01.8,17,2.95,21.34,2.03,1.34,2021-09-13,1
8760,07:06.9,17,3.99,27.07,2.12,3.2,2021-09-13,1
8789,09:52.8,18,3.18,25.05,3.04,2.04,2021-09-13,1
8808,11:27.9,18,3.18,25.05,3.04,2.04,2021-09-13,1
8818,12:17.9,18,3.18,25.05,3.04,2.04,2021-09-13,1
8829,13:13.0,18,3.18,25.05,3.04,2.04,2021-09-13,1
8857,15:54.6,19,3.87,27.13,2.37,2.12,2021-09-13,1
8873,17:14.7,19,2.91,21.23,3.85,1.11,2021-09-13,1
8894,18:59.8,19,2.61,21.21,3.24,1.55,2021-09-13,1
8950,24:00.6,20,2.91,26.69,1.59,4.42,2021-09-13,1
8958,24:40.7,20,1.99,18.23,3.27,4.44,2021-09-13,1
8972,26:13.4,21,5.31,23.97,3.49,3.87,2021-09-13,1
9023,30:28.6,21,5.31,23.97,3.49,3.87,2021-09-13,1
9030,31:03.7,21,5.31,23.97,3.49,3.87,2021-09-13,1
9031,31:08.7,21,5.31,23.97,3.49,3.87,2021-09-13,1
9059,33:49.4,22,4.11,21.15,3.48,3.4,2021-09-13,0
9060,33:54.4,22,3.98,22.26,3.25,4.51,2021-09-13,0
9065,34:19.4,22,4.02,22.18,2.06,3.02,2021-09-13,0
9076,35:14.5,22,1.81,25.25,2.28,4.98,2021-09-13,0
9088,36:14.5,22,2.09,25.23,2.28,3.29,2021-09-13,0
9094,36:44.6,22,2.43,26.31,4.05,1.96,2021-09-13,0
9096,36:54.6,22,3.61,26.15,3.42,1.26,2021-09-13,0
9264,36:33.7,3,4.12,25.23,3.35,3.95,2021-09-14,1
9279,37:48.8,3,1.87,23.65,2.33,3.01,2021-09-14,1
9320,41:35.7,4,1.58,21.02,2.41,1.86,2021-09-14,1
9432,51:17.5,5,1.85,22.33,2.26,3.89,2021-09-14,1
9495,56:53.4,6,1.95,25.29,3.58,1.93,2021-09-14,1
9686,13:52.8,9,3.61,23.22,3.04,1.78,2021-09-14,1
9695,14:37.8,9,4.8,18.31,1.92,1.42,2021-09-14,1
9760,20:24.6,10,3.81,25.03,4.14,4.38,2021-09-14,1
9904,33:09.5,12,2.17,22.89,2.03,4.59,2021-09-14,1
9906,33:19.6,12,3.56,26.43,1.92,2.4,2021-09-14,1
9979,39:45.0,13,4.06,24.48,4.02,3.15,2021-09-14,1
10155,55:30.1,16,4.32,23.76,2.32,4.6,2021-09-14,1
10193,58:40.3,16,4.32,23.53,3.04,4.53,2021-09-14,1
10205,59:40.4,16,3.57,22.82,4.11,1.56,2021-09-14,1
10215,00:53.1,17,4.91,27.24,3.3,3.78,2021-09-14,1
10229,02:03.1,17,4.91,27.24,3.3,3.78,2021-09-14,1
10248,03:38.2,17,4.91,27.24,3.3,3.78,2021-09-14,1
10262,04:48.3,17,4.91,27.24,3.3,3.78,2021-09-14,1
10357,13:27.1,19,2.54,19.59,3.67,2.13,2021-09-14,1
10423,19:19.5,20,4.64,26.18,2.08,4.42,2021-09-14,1
10437,20:29.5,20,3.53,26.4,1.7,4.91,2021-09-14,1
10451,21:39.6,20,3.77,25.86,1.84,2.14,2021-09-14,1
10520,27:45.1,21,4.24,23.99,3.34,2.17,2021-09-14,1
10535,29:00.2,21,2.01,27.54,3.52,2.13,2021-09-14,1
10576,32:46.1,22,3.22,24.9,3.35,1.6,2021-09-14,1
10622,36:36.3,22,2.29,24.98,2.2,2.01,2021-09-14,1
10706,33:58.6,2,4.16,26.65,4.1,3.05,2021-09-15,1
10774,40:00.6,3,5.02,25.0,3.29,3.37,2021-09-15,1
10794,41:40.7,3,2.42,25.3,4.16,1.2,2021-09-15,1
10828,44:30.9,3,1.66,24.49,3.25,1.29,2021-09-15,1
10877,48:58.0,4,3.48,27.0,2.0,4.6,2021-09-15,1
10920,52:53.4,5,1.6,25.78,3.98,1.57,2021-09-15,1
11114,10:07.8,8,3.82,21.02,3.66,4.11,2021-09-15,1
11123,10:52.8,8,5.48,24.39,3.27,3.41,2021-09-15,1
11268,23:40.5,10,4.66,26.13,3.09,2.13,2021-09-15,1
11285,25:05.5,10,3.78,23.43,2.16,3.26,2021-09-15,1
11323,28:37.9,11,4.24,26.82,3.72,1.7,2021-09-15,1
11375,32:58.2,11,5.16,27.06,4.32,4.61,2021-09-15,1
11407,36:01.1,12,2.4,24.03,3.73,1.85,2021-09-15,1
11458,40:37.4,13,4.65,22.8,2.16,4.56,2021-09-15,1
11469,41:32.5,13,2.07,17.67,4.25,3.86,2021-09-15,1
11503,44:22.7,13,1.63,21.73,2.22,2.15,2021-09-15,1
11740,05:35.6,17,4.59,21.66,3.11,3.7,2021-09-15,1
11749,06:20.7,17,4.59,21.66,3.11,3.7,2021-09-15,1
11751,06:30.7,17,4.59,21.66,3.11,3.7,2021-09-15,1
11769,08:00.8,17,4.59,21.66,3.11,3.7,2021-09-15,1
11833,13:43.5,18,2.79,21.02,2.06,4.83,2021-09-15,1
11846,14:48.6,18,2.79,21.02,2.06,4.83,2021-09-15,1
11859,15:53.6,18,2.79,21.02,2.06,4.83,2021-09-15,1
11862,16:08.7,18,2.79,21.02,2.06,4.83,2021-09-15,1
11896,19:21.0,19,3.41,21.84,1.97,4.58,2021-09-15,1
11942,23:33.8,20,4.07,24.41,3.83,3.89,2021-09-15,1
12082,35:57.4,22,4.65,22.8,2.16,4.56,2021-09-15,1
12083,36:02.4,22,4.65,22.8,2.16,4.56,2021-09-15,1
12107,38:02.5,22,4.65,22.8,2.16,4.56,2021-09-15,1
12129,39:52.6,22,4.65,22.8,2.16,4.56,2021-09-15,1
12156,24:02.0,1,3.92,22.33,3.34,3.2,2021-09-16,1
12233,30:48.0,2,2.17,22.89,2.03,4.59,2021-09-16,1
12236,31:03.0,2,2.17,22.89,2.03,4.59,2021-09-16,1
12242,31:33.1,2,2.17,22.89,2.03,4.59,2021-09-16,1
12267,33:38.2,2,2.17,22.89,2.03,4.59,2021-09-16,1
12328,39:04.2,3,3.21,23.88,3.4,1.27,2021-09-16,0
12331,39:19.2,3,1.54,19.34,4.06,1.97,2021-09-16,0
12332,39:24.2,3,2.06,23.82,1.69,2.04,2021-09-16,0
12340,40:04.3,3,4.06,24.61,2.48,4.53,2021-09-16,0
12348,40:44.3,3,4.91,22.77,4.19,4.61,2021-09-16,0
12430,48:17.3,5,4.29,27.53,4.19,1.71,2021-09-16,1
12660,08:34.2,8,3.42,21.84,3.69,1.4,2021-09-16,1
12712,13:15.1,9,4.65,22.8,2.16,4.56,2021-09-16,1
12739,15:30.2,9,4.65,22.8,2.16,4.56,2021-09-16,1
12751,16:30.3,9,4.65,22.8,2.16,4.56,2021-09-16,1
12763,17:30.3,9,4.65,22.8,2.16,4.56,2021-09-16,1
12925,32:03.2,12,1.58,21.02,2.41,1.86,2021-09-16,1
12931,32:33.2,12,1.58,21.02,2.41,1.86,2021-09-16,1
12939,33:13.2,12,1.58,21.02,2.41,1.86,2021-09-16,1
12941,33:23.2,12,1.58,21.02,2.41,1.86,2021-09-16,1
13072,45:00.8,14,5.32,22.28,2.13,4.03,2021-09-16,1
13157,52:29.0,15,4.48,25.25,3.56,2.35,2021-09-16,1
13175,53:59.1,15,3.92,24.49,3.97,1.88,2021-09-16,1
13225,58:31.3,16,2.79,21.02,2.06,4.83,2021-09-16,1
13322,07:19.4,18,4.62,22.78,1.65,1.68,2021-09-16,1
13366,10:59.6,18,5.34,21.34,3.07,2.43,2021-09-16,1
13367,11:04.6,18,2.48,25.74,2.42,2.14,2021-09-16,1
13395,13:45.8,19,1.6,25.78,3.98,1.57,2021-09-16,1
13413,15:15.8,19,1.6,25.78,3.98,1.57,2021-09-16,1
13424,16:10.9,19,1.6,25.78,3.98,1.57,2021-09-16,1
13442,17:41.0,19,1.6,25.78,3.98,1.57,2021-09-16,1
13463,19:48.2,20,3.28,23.59,1.77,4.93,2021-09-16,1
13474,20:43.3,20,4.16,27.24,2.17,3.66,2021-09-16,1
13612,32:58.8,22,4.38,25.79,3.08,3.73,2021-09-16,1
13626,34:08.9,22,4.98,25.93,2.49,2.1,2021-09-16,1
13667,21:39.0,1,2.77,22.84,1.94,3.73,2021-09-17,1
13710,25:14.2,1,5.4,24.07,4.27,1.75,2021-09-17,1
13757,29:29.7,2,3.37,23.67,4.3,1.69,2021-09-17,1
13783,31:39.8,2,3.03,23.7,1.56,4.43,2021-09-17,1
13799,32:59.9,2,4.56,25.12,2.11,1.05,2021-09-17,1
13831,36:02.0,3,3.48,27.0,2.0,4.6,2021-09-17,1
13845,37:12.1,3,3.48,27.0,2.0,4.6,2021-09-17,1
13856,38:07.1,3,3.48,27.0,2.0,4.6,2021-09-17,1
13866,38:57.2,3,3.48,27.0,2.0,4.6,2021-09-17,1
13911,43:03.1,4,2.92,25.38,4.18,1.53,2021-09-17,1
13949,46:35.0,5,4.38,25.79,3.08,3.73,2021-09-17,1
13951,46:45.0,5,4.38,25.79,3.08,3.73,2021-09-17,1
13957,47:15.0,5,4.38,25.79,3.08,3.73,2021-09-17,1
13968,48:10.1,5,4.38,25.79,3.08,3.73,2021-09-17,1
14030,53:41.9,6,2.56,25.61,1.89,3.77,2021-09-17,1
14129,02:17.7,7,4.35,24.31,1.78,3.14,2021-09-17,1
14186,07:25.0,8,4.66,24.84,3.68,2.08,2021-09-17,1
14223,10:50.8,9,2.79,25.62,3.09,2.07,2021-09-17,1
14285,16:22.9,10,3.83,21.61,3.76,3.38,2021-09-17,1
14290,16:47.9,10,3.83,21.61,3.76,3.38,2021-09-17,1
14317,19:03.0,10,3.83,21.61,3.76,3.38,2021-09-17,1
14350,21:48.2,10,3.83,21.61,3.76,3.38,2021-09-17,1
14352,22:19.7,11,5.42,21.48,3.38,4.04,2021-09-17,1
14503,35:35.8,13,3.76,24.59,2.49,2.08,2021-09-17,1
14515,36:35.9,13,3.76,24.59,2.49,2.08,2021-09-17,1
14521,37:05.9,13,3.76,24.59,2.49,2.08,2021-09-17,1
14554,39:51.0,13,3.76,24.59,2.49,2.08,2021-09-17,1
14594,43:32.1,14,2.12,25.49,3.81,1.97,2021-09-17,1
14709,53:52.5,16,4.04,23.87,3.98,2.38,2021-09-17,0
14715,54:22.5,16,1.58,21.44,3.84,1.56,2021-09-17,0
14742,56:37.7,16,2.31,21.31,1.94,4.64,2021-09-17,0
14745,56:52.7,16,5.35,22.51,3.97,3.03,2021-09-17,0
14847,06:05.8,18,4.39,22.62,3.47,3.9,2021-09-17,1
15022,21:26.2,20,4.74,23.91,1.83,1.36,2021-09-17,1
15123,30:35.4,22,3.97,21.74,3.13,4.19,2021-09-17,1
15350,34:56.1,3,4.15,21.9,1.96,4.15,2021-09-23,1
15381,37:31.3,3,4.49,19.44,3.54,2.19,2021-09-23,1
15475,46:05.3,5,3.81,25.03,4.14,4.38,2021-09-23,1
15506,48:40.4,5,3.81,25.03,4.14,4.38,2021-09-23,1
15523,50:05.5,5,3.81,25.03,4.14,4.38,2021-09-23,1
15524,50:10.5,5,3.81,25.03,4.14,4.38,2021-09-23,1
15533,51:15.7,6,4.66,26.13,3.09,2.13,2021-09-23,1
15553,52:55.8,6,4.66,26.13,3.09,2.13,2021-09-23,1
15558,53:20.9,6,4.66,26.13,3.09,2.13,2021-09-23,1
15565,53:55.9,6,4.66,26.13,3.09,2.13,2021-09-23,1
15654,01:43.0,7,4.01,22.01,3.42,4.09,2021-09-23,1
15682,04:25.7,8,3.58,24.27,4.01,1.07,2021-09-23,1
15708,06:35.9,8,5.15,22.2,3.11,3.94,2021-09-23,1
15855,19:33.7,10,3.31,18.22,3.86,4.02,2021-09-23,1
15919,25:16.1,11,4.57,24.12,3.27,3.31,2021-09-23,1
15952,28:22.9,12,2.77,19.44,3.6,1.89,2021-09-23,1
15971,29:58.0,12,2.16,23.9,1.73,4.0,2021-09-23,1
16243,54:05.1,16,3.41,21.84,1.97,4.58,2021-09-23,1
16261,55:35.2,16,3.41,21.84,1.97,4.58,2021-09-23,1
16262,55:40.2,16,3.41,21.84,1.97,4.58,2021-09-23,1
16283,57:25.3,16,3.41,21.84,1.97,4.58,2021-09-23,1
16300,59:12.7,17,1.6,22.3,1.82,2.4,2021-09-23,1
16318,00:42.8,17,4.12,22.49,2.19,4.75,2021-09-23,1
16326,01:22.8,17,3.82,23.62,3.1,4.32,2021-09-23,1
16446,12:06.9,19,3.88,25.02,3.45,3.69,2021-09-23,1
16633,28:47.7,22,4.42,25.55,4.38,1.96,2021-09-23,1
16674,32:12.9,22,1.6,27.4,4.22,1.4,2021-09-23,1
16839,34:40.3,3,3.8,24.06,2.29,2.29,2021-09-24,1
16850,35:35.4,3,3.8,24.06,2.29,2.29,2021-09-24,1
16859,36:20.4,3,3.8,24.06,2.29,2.29,2021-09-24,1
16865,36:50.4,3,3.8,24.06,2.29,2.29,2021-09-24,1
16981,47:13.7,5,2.26,24.54,4.17,1.52,2021-09-24,1
16997,48:33.8,5,2.26,24.54,4.17,1.52,2021-09-24,1
17027,51:04.0,5,2.26,24.54,4.17,1.52,2021-09-24,1
17038,51:59.0,5,2.26,24.54,4.17,1.52,2021-09-24,1
17140,01:10.7,7,4.14,26.8,3.67,4.54,2021-09-24,1
17162,03:00.8,7,4.89,22.31,3.75,4.25,2021-09-24,1
17185,05:16.1,8,3.52,27.13,3.12,1.83,2021-09-24,1
